Variable_Code,Description
OPV7,"Time of operation as fraction of growing season (cols. 78-85): This is also referred to as heat unit scheduling. Heat unit scheduling can be used to schedule operations at a particular stage of growth. For example, irrigation could be scheduled at 0.25, 0.5, and 0.75 which might represent different stages of crop growth. In this case, irrigation would be applied at 25%, 50%, and 75% of the potential heat units set at planting.When setting up an operation using heat unit scheduling it is best to enter earliest possible month and day (JX2 and JX3) that the operation could occur on because, for the operation to occur, the date of the operation as well as the number of heat units scheduled must be met. This is recommended because of the process followed by APEX: first the program checks if the date of the operation has been met; then it checks if the fraction of heat units has been met. See table 11 for more details.Heat unit scheduling can also be used to adjust operations to the weather (temperatures) from year to year. If heat units are not scheduled (set to 0), operations will occur on the date set in the operation schedule and the operation will occur on the same date every year the crop is grown in the simulated rotation.Heat unit scheduling operations which occur from planting to harvest are based on the heat units set at planting. Operations which occur before planting are based on the total annual heat units which are calculated by the model.For some grain crops an in-field dry-down period is allowed. It is expressed as a fraction of the total heat units set at planting. In most cases the dry-down period is 10% to 15% of the total heat units. If a dry-down period is required, heat unit schedule the harvest operation to occur at 1.10, 1.15 or another appropriate fraction.In the case of forage harvesting, the forage is actually harvested well before the crop reaches full maturity. In this case heat unit schedule the forage harvest to 0.55 or another appropriate fraction."
OPV8,"Minimum USLE C-Factor (cols. 86-93): It sets the minimum C factor value used in the estimation of soil erosion. If set to a value greater than zero, it will replace Minimum USLE C-Factor (cols. 86-93)It sets the minimum C factor value used in the estimation of soil erosion. If set to a value greater than zero, it will replace."
OPV9,"Moisture content of grain requested for harvest (cols. 94-101): It sets the fraction of the grain moisture content to allow harvest operation. Harvest will occur only when the grain moisture content is lower than OPV9."
J2,"Plant ID (cols. 2-5): Unique number to identify the plant. This number is used in the EPIC management file (JX(6) in OPSCCOM.DAT) to identify the plant(s) that must be simulated."
TIL,"Machine or equipment name (cols. 7-14): Abbreviation of the name of the machine or equipment."
PCD,"Power code (cols. 16-19): Used to identify the machine or equipment. Allowed options: POWE (powered machine), SELF (self-operating machine), NON (non-powered machine), IRRI (irrigation equipment), CUST (customized equipment)."
PRIC,"Purchase price ($) (cols. 20-27): Amount of money the equipment was purchased for. To estimate, subtract 10% from the initial list price. Used only for economic analysis. (Range: 0 to 999999)."
XLP,"Initial list price in current ($) (cols. 28-35): The price of the equipment when new. Used for economic analysis. (Range: 0 to 999999)."
HRY,"Annual use (h) (cols. 36-43): Time per year the equipment is used. Used only for economic analysis. (Range: 0 to 8760)."
HRL,"Life of equipment (h) (cols. 44-51): The amount of time the equipment is operational. Used only for economic analysis. (Range: 0 to 999999)."
PWR,"Power of unit (KW) (cols. 52-59): The horsepower or kilowatts of the equipment. (Range: 0 to 900)."
WDT,"Width of pass (m) (cols. 60-67): The width the equipment covers when moved across the land. (Range: 0 to 50)."
SPD,"Operating speed (km/h) (cols. 68-75): Speed at which the equipment is operated. (Range: 0 to 200)."
RC1,"Repair cost coefficient 1 (cols. 76-83): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1)."
RC2,"Repair cost coefficient 2 (cols. 84-91): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 5)."
XLB,"Lubricant factor (cols. 92-99): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1)."
FCM,"Fuel consumption multiplier (cols. 100-107): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1)."
RFV1,"Remaining farm value parameter 1 (cols. 108-115): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 2)."
RFV2,"Remaining farm value parameter 2 (cols. 116-123): Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 2)."
EFM,"Machine efficiency (cols. 124-131): The fraction of efficiency loss due to overlap in passes. Used for irrigation system efficiency as well. (Range: 0 to 1)."
RTI,"Annual real interest rate ($/$) (cols. 132-139): Difference between nominal interest rate and inflation rate. (Range: 0.001 to 0.15)."
EMX,"Mixing efficiency (cols. 140-147): Fraction of materials mixed uniformly in the plow depth. (Range: 0 to 0.99)."
RR,"Random surface roughness (cols. 148-155): Describes soil surface roughness after tillage. (Range: 0 to 100)."
TLD,"Tillage depth (cols. 156-163): Depth of tillage (positive for below surface, negative for above). (Range: -2000 to 2000)."
RHT,"Ridge height (cols. 164-171): Height of the ridge created by the implement. (Range: 0 to 1000)."
RIN,"Ridge interval (cols. 172-179): Distance between ridges or row spacing. (Range: 0 to 200)."
DKH,"Height of furrow dikes (cols. 180-187): Affects the amount of water furrow dikes can store. (Range: 0 to 1000)."
DKI,"Distance between furrow dikes (cols. 188-195): (Range: 0 to 200)."
IHC,"Operation code (cols. 196-203): Identifies the type of operation or implement. (Various accepted values for plowing, harvesting, irrigation, etc.)."
HE,"Harvest efficiency or pesticide application efficiency (cols. 204-211): Fraction of crop yield or pesticide that is used effectively. (Range: 0 to 1)."
ORHI,"Override harvest index for forage and root crops (cols. 212-219): Ratio of economic or harvestable yield to total biomass. (Range: 0 to 1)."
FRCP,"Fraction of soil compacted (cols. 220-227): Calculated as tire width/tillage width. Experimental and not activated in simulation. (Range: 0 to 1)."
FPOP,"Fraction of plant population reduced by operation (cols. 228-235): Correction to the seeded rate based on thinning or tillage operations. (Range: 0 to 1)."
TCEM,"Carbon emission (kg/ha) (cols. 236-243): Carbon emitted from equipment use. (Range: 0 to 9999)."
II,"Monthly weather statistics file ID. Unique number to identify the monthly weather statistics file. This number is used in EPICRUN.DAT file to select the daily weather file used in each simulation (IWP1)."
OPSCFILE,"Monthly weather statistics file name. Name of the monthly weather statistics file (including the extension of the file) or path + name of the management file (including the extension). When using the name of the monthly weather statistics file, the file must be in the same folder of the EPIC executable. When using the path + file name, no spaces can be included in the path."
Y,"Latitude (decimal degrees). Latitude of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the latitude of the weather stations is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). Latitudes in the Southern Hemisphere are in negative degrees and positive in the Northern Hemisphere. The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -90 to 90)"
X,"Longitude (decimal degrees). Longitude of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the longitude of the weather stations is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -180 to 180)"
ELEX,"Elevation (meters). Elevation of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the elevation of the weather station is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -200 to 8000)"
CPNM,"Plant name (cols. 7-10): Short name of the plant. This will be used to represent the plant(s) in several output files."
WA,"Biomass-Energy ratio (cols. 11-18): Also known as radiation use efficiency, it is the potential (unstressed) growth rate (including roots) per unit of intercepted photosynthetically active radiation. Values reported here are for atmospheric CO2 concentration of 330 ppm. This parameter should be one of the last to be adjusted. Adjustments should be based on research results. This parameter can greatly change the rate of growth, incidence of stress during the season and the resultant yield. Care should be taken to make adjustments in the parameter only based on data with no drought, nutrient or temperature stress. (Range: 0.01 to 90)"
HI,"Harvest index (cols. 19-26): The harvest index is the ratio of economic or harvestable yield to the total biomass of the plant. This plant parameter should be based on experimental data where plant stresses have been minimized to allow the plant to attain its potential. HI input here is the maximum harvest index that could possibly be attained under nonstress conditions. The actual HI is adjusted during the simulation based on stress and phenological development. This variable only pertains to grain and cotton crops. For forage and root crops, the Override Harvest Index (ORHI) should be set in the TILLCOM.DAT file for the harvest equipment used to harvest the crop. (Range: 0.01 to 1.0)"
TOPC,"Optimal temperature for plant growth (°C) (cols. 27-34): This indicates the optimum temperature at which the plant will grow without being physiologically damaged by high or low temperatures. This value is very stable for cultivars within a species and should not be changed once determined for a species. Varietal or maturity type differences are accounted for by different sums of thermal units. (Range: 0.0 to 40.0)"
TBSC,"Minimum temperature for plant growth (°C) (cols. 35-42): This indicates the minimum (base) temperature at which the crop will grow without being physiologically damaged by cold. This value is very stable for cultivars within a species and should not be changed once determined for a species. Varietal or maturity type differences are accounted for by different sums of thermal units. (Range: 0.0 to 25.0)"
DMLA,"Maximum potential leaf area index (cols. 43-50): Leaf area index refers to the ratio of the surface area of the leaves (one side only) of the plant to the area of the ground covered by the plants. This parameter refers to the greatest leaf area index that the plant is able to attain. The DMLA is based on the highest expected plant densities for plants not expected to have water stress. DMLA is internally adjusted for drought-prone regions as planting densities are much smaller in these areas unless irrigation is used. (Range: 0.1 to 20.0)"
DLAI,"Fraction of growing season when leaf area declines (cols. 51-58): Point in the growing season (expressed as a fraction of heat units required for maturation) when the leaf area index begins to decrease due to leaf senescence. The fraction of the growing season in heat units is divided by the total heat units accumulated between planting and crop maturity. (Range: 0.01 to 1.0)"
DLAP1,"First point on optimal leaf area development curve (cols. 59-66): This is the first of two points on the optimal (not stressed) leaf area development curve. Numbers before decimal are % of growing season. Numbers after decimal are fractions of maximum potential LAI. For example, 15.01 states that at 15% of the growing season, 1% of the LAI has developed. See Figure 17 for an example on how DLAP(1) works."
DLAP2,"Second point on optimal leaf area development curve (cols. 67-74): This is the second of two points on optimal (not stressed) leaf area development curve. Numbers before decimal are % of growing season. Numbers after decimal are fractions of maximum potential LAI. For example, 50.95 states that at 50% of the growing season, 95% of the LAI has developed. See Figure 17 for an example on how DLAP(2) works."
RLAD,"Leaf area index decline rate parameter (cols. 75-82): In several plants, leaf area declines due to leaf senescence as the plant approaches physiological maturity. In most cases, leaf senescence begins with yellowing of the older (lower) leaves and proceeds upward until, in crops like corn, wheat, and soybeans, all leaves senesce and the plant dies. In many grain crops, leaf area index declines linearly with time after grain filling begins. Nutrients and carbohydrates in the senescing leaves are often translocated into the grain. In EPIC the plant parameter DLAI (described above) controls the point in the growing season when leaf area begins to decline. The plant parameter RLAD controls the rate of decline. If RLAD is set to 1.0, the rate of decline is linear. If RLAD < 1.0, the rate of decline is initially slow, then increases until all leaves are dead at maturity. If RLAD > 1.0, the rate of senescence is initially rapid, then slows as maturity approaches. In all cases, EPIC assumes that leaf area begins to decline when the fraction of the growing season equals DLAI, and the leaf area index approaches zero at maturity. (Range: 0 to 10)"
RBMD,"Biomass-energy ratio decline rate parameter (cols. 83-90): This variable sets the biomass-energy (WA) decline rate during the growing season. This crop parameter functions like the RLAD above. It reduces the efficiency of conversion of intercepted photosynthetically active radiation to biomass due to production of high energy products like seeds and/or translocation of N from leaves to seeds. In most crops, this rate is relatively constant during the vegetative stage of growth, when structural carbohydrates like cellulose are the principal products of growth. However, when grain crops begin to form seeds, the conversion of intercepted solar radiation into biomass begins to decline. That is, less dry matter is formed for each unit of absorbed solar radiation. In addition, as leaf area yellows and begins to senesce, the conversion efficiency declines still more. EPIC uses the crop parameter RBMD to reduce the rate of conversion of intercepted solar radiation to biomass as the crop approaches maturity (when the fraction of the growing season is greater than DLAI). Computationally, RBMD reduces WA like RLAD reduces leaf area index. (Range: 1 to 10)"
ALT,"Aluminum tolerance index (cols. 91-98): Index of plant tolerance to aluminum saturation. (Range: 1 (sensitive) to 5 (tolerant))"
GSI,"Maximum Stomatal Conductance (m s-1) (cols. 99-106): The crop parameter GSI is the maximum stomatal conductance at high solar radiation and low vapor pressure deficit. Korner et al. (1979) reported maximum stomatal conductance values for 246 species and cultivars."
CAF,"Critical aeration factor (cols. 107-114): Fraction of soil porosity where poor aeration starts limiting plant growth. This is set at 0.85 for most crops, with rice being the major exception with a value of 1.0. (Range: 0.1 to 1.0)"
SDW,"Seed weight (kg ha-1) (cols. 115-122): The seed weight affects the starting crop biomass. A portion of the seed weight is allocated to the initial biomass. This is also used for transplanted crops."
HMX,"Maximum crop height (m) (cols. 123-130): The greatest potential height the crop will reach."
RDMX,"Maximum root depth (m) (cols. 131-138): The greatest depth to which the rooting system will penetrate. This affects soil moisture extraction."
WAC2,"CO2 Concentration / Resulting WA value (cols. 139-146): This is a split variable. In EPIC, radiation use efficiency is sensitive to atmospheric CO2 concentration. WAC2 is an 'S' curve parameter used to describe the effect of CO2 concentration on the crop parameter WA. The value on the left of the decimal is a value of CO2 concentration higher than ambient (i.e., 450 or 660 ul l-1). The value on the right of the decimal is the corresponding value of WA. This elevated value of WA can be estimated from experimental data on short-term crop growth at elevated CO2 levels. Calculate the ratio of crop growth rate at elevated CO2 to crop growth at approximately 330 ul l-1 CO2. Multiply that ratio by the value of WA at 330 ul l-1 to obtain the value on the right of the decimal. Typical values of the ratio for C4 plants are 1.1 to 1.2; 1.15 is used in CROPCOM.DAT for plants with the C4 photosynthetic pathway. Typical values of the ratio for C3 plants are 1.3 to 1.4; 1.35 is used in CROPCOM.DAT for these types of plants. (Kimball, 1983)"
CNY,"Fraction of nitrogen in yield (kg kg-1) (cols. 147-154): This is the fraction of nitrogen in the yield compared to the entire plant and affects the amount of nitrogen removed from the field through the harvesting of the crop. This was estimated from Morrison's Feeds and Feeding and other data sources of plant nutrition. The percentage N in Morrison was adjusted to a dry weight by dividing by the fraction of dry matter to total yield. (Range: 0.0 to 1.0)"
CPY,"Fraction of phosphorus in yield (kg kg-1) (cols. 155-162): This is the fraction of phosphorus in the yield compared to the entire plant and affects the amount of phosphorus removed from the field through the harvesting of the crop. Estimated by the same procedure as CNY above. (Range: 0.0 to 1.0)"
CKY,"Fraction of potassium in yield (kg kg-1) (cols. 163-170): This is the fraction of potassium in the yield compared to the entire plant and affects the amount of potassium removed from the field through the harvesting of the crop. Estimated by the same procedure as CNY above. (Range: 0.0 to 1.0)"
WYSF,"Lower limit of harvest index (cols. 171-178): Fraction between 0 and HI values that represents the lowest harvest index expected due to water stress. (Range: 0 to 1)"
PST,"Pest (insects and disease) factor (cols. 179-186): Fraction of yield remaining after damage. Usually set at 0.60. EPIC has an adjustment process that is a function of moisture, temperature, and residue. This presently is a reasonable estimate, but future versions may include more detailed procedures. You may wish to adjust the parameter in geographic areas known to have large amounts of damage from pests. (Range: 0 to 1)"
CSTS,"Seed cost ($ kg-1) (cols. 187-194): Cost of seed is used for economic analyses only."
PRYG,"Price for grain yield ($ t-1) (cols. 195-202): Price for grain yield is used for economic analyses only."
PRYF,"Price for forage yield ($ t-1) (cols. 203-210): Price for forage yield is used for economic analyses only."
WCY,"Fraction water in yield (cols. 211-218): The amount of water present in the yield at the time of harvest. The yields of most grain crops are reported at a standard grain water content; however, for some applications, grain dry weight is appropriate (WCY = 0). EPIC yield output is dry weight. (Range: 0.0 to 1.0)"
BN1,"Fraction on nitrogen in plant at emergence (cols. 219-226): Normal fraction of N in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant."
BN2,"Fraction on nitrogen in plant at 0.5 maturity (cols. 227-234): Normal fraction of N in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant."
BN3,"Fraction on nitrogen in plant at maturity (cols. 235-242): Normal fraction of N in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant."
BP1,"Fraction on phosphorus in plant at emergence (cols. 243-250): Normal fraction of P in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant."
BP2,"Fraction on phosphorus in plant at 0.5 maturity (cols. 251-258): Normal fraction of P in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant."
BP3,"Fraction on phosphorus in plant at maturity (cols. 259-266): Normal fraction of P in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant."
BK1,"Fraction on potassium in plant at emergence (cols. 267-274): Normal fraction of K in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant."
BK2,"Fraction on potassium in plant at 0.5 maturity (cols. 275-282): Normal fraction of K in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant."
BK3,"Fraction on potassium in plant at maturity (cols. 283-290): Normal fraction of K in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant."
BW1,"Wind erosion factor for standing live biomass (cols. 291-298): Based on the Manhattan wind erosion equations for each (or similar) plant."
BW2,"Wind erosion factor for standing dead biomass (cols. 299-306): Based on the Manhattan wind erosion equations for each (or similar) plant."
BW3,"Wind erosion factor for flat residue (cols. 307-314): Based on the Manhattan wind erosion equations for each (or similar) plant."
IDC,"Crop category ID number (cols. 315-322): This ID number is used internally to identify the type of crop simulated by the model. Crop categories are: 1. Warm season annual legume, 2. Cold season annual legume, 3. Perennial legume, 4. Warm season annual, 5. Cold season annual, 6. Perennial, 7. Evergreen tree, 8. Deciduous tree, 9. Cotton, 10. Leguminous tree."
FRST1,"First point on frost damage curve (cols. 323-330): The first of two points on the frost damage curve. Numbers before the decimal point are the minimum temperatures (°C) and numbers after the decimal point are the fraction of biomass lost each day the specified minimum temperature occurs. NOTE: 10.20 means 20 percent of the biomass is lost each day a temperature of -10 °C is reached. The negative sign on degrees is added by EPIC since no frost damage is assumed to occur above 0 °C. These two parameters should be based on a combination of research results and observation. Precise data for field application is subject to microclimate variation across the landscape. Current parameters are reasonable estimates; however, they are more likely to understate frost damage than to overstate frost damage."
FRST2,"Second point on frost damage curve (cols. 331-338): Second of two points on the frost damage curve. Numbers before the decimal point are the minimum temperatures (°C) and numbers after the decimal point are the fraction of biomass lost each day the specified minimum temperature occurs."
WAVP,"Parameter relating vapor pressure deficit to WA (cols. 339-346): In EPIC, radiation use efficiency (WA) is sensitive to vapor pressure deficit (VPD). As VPD increases, WA decreases. The crop parameter WAVP is the rate of the decline in WA per unit increase in VPD. The value of WAVP varies among species, but a value of 6 to 8 is suggested as an approximation for most crops."
VPTH,"Threshold VPD (kPa) (cols. 347-354): In EPIC, leaf conductance is to VPD until VPD (calculated hourly) exceeds the threshold value, VPTH (usually 0.5 to 1.0 kPa)."
VPD2,"VPD value (kPa) (cols. 355-362): In EPIC, leaf conductance declines linearly as VPD increases above VPTH. VPD2 is a double parameter in which the number on the left of the decimal point is some value of VPD above VPTH (e.g., 4.0), and the number on the right of the decimal point is the corresponding fraction of the maximum leaf conductance at the value of VPD (e.g., 0.7)."
RWPC1,"Fraction of root weight at emergence (cols. 363-370): This is one of the partitioning parameters to split biomass between above ground and roots. RWPC(1) is the partitioning fraction at emergence and RWPC(2) is partitioning fraction at maturity. Between those two points there is a linear interpolation of the partitioning fraction relative to accumulative heat units. (Range: 0.0 to 1.0)"
RWPC2,"Fraction of root weight at maturity (cols. 371-378): This is one of the partitioning parameters to split biomass between above ground and roots. RWPC(1) is the partitioning fraction at emergence and RWPC(2) is partitioning fraction at maturity. Between those two points there is a linear interpolation of the partitioning fraction relative to accumulative heat units. (Range: 0.0 to 1.0)"
GMHU,"Heat units required for germination (°C) (cols. 379-386): This is the amount of thermal units required by the seed to germinate. This delays germination from the planting date or the date at which the temperature of soil layer 2 exceeds TBSC. (Range: 0.0 to 500)"
PPLP1,"Plant Population – Leaf area index curve (cols. 387-394): First of two points on population curve. Plant Population for crops, grass etc., except trees or plants requiring more than 1 m² per plant. The number to the left of the decimal is the number of plants (plants m-²) and the number to the right is the fraction of maximum leaf area at that population. NOTE: if the crop is trees, the population is expressed as plants per hectare and the second plant population point is placed in the PPLP(1) position and the first point placed in the PPLP(2) position. Consequently, in the case of trees the first point should be the higher population. If entering plants m-² then PPLP(1) < PPLP(2) If entering plants ha-¹ then PPLP(1) > PPLP(2)"
PPLP2,"Plant Population – Leaf area index curve (cols. 395-402): Second of two points on population curve. The number to the left of the decimal is the number of plants (plants m-²) and the number to the right is the fraction of maximum leaf area at that population. NOTE: if the crop is trees, the population is expressed as plants per hectare and the second plant population point is placed in the PPLP(1) position and the first point placed in the PPLP(2) position. Consequently, in the case of trees the first point should be the higher population. If entering plants m-² then PPLP(1) < PPLP(2) If entering plants ha-¹ then PPLP(1) > PPLP(2). For example, corn can have PPLP(1) = 30.43 and PPLP(2) = 50.71. This means at 30 plants m-² 43% of maximum leaf area can be attained. This is also the 1st point on the population curve. PPLP(2) means at 50 plants m-² 71% of maximum leaf area can be attained. This is the 2nd point on population curve for corn production. Since PPLP(1) is less than PPLP(2), it shows the population density of a crop other than trees. However, for pine tree, PPLP(1) = 1000.95 and PPLP(2) = 100.10. While the numbers before and after decimal have the same explanations as given for corn, it indicates the population density is for a tree (hence in plants ha-¹) because here PPLP(1) is greater than PPLP(2)."
STX1,"Salinity effect on yield ((t ha-1)/(mmho cm-1)) (cols. 403-410): This is the yield decrease per increase in salinity."
STX2,"Salinity threshold (mmho/cm) (cols. 411-418): The threshold points at which any increase in salinity will cause a decrease in yield."
BLG1,"Lignin fraction in plant at 0.5 maturity (cols. 419-426): Fraction of lignin when the plant reaches 0.5 maturity."
BLG2,"Lignin fraction in plant at full maturity (cols. 427-434): Fraction of lignin when the plant reaches full maturity."
WUB,"Water use conversion to biomass (t/mm) (cols. 435-442): The amount of biomass produced per unit of water used by the plant. This value is used if the experimental water use – biomass conversion method is selected in the EPPICCONT file (ICG > 0)."
FTO,"Fraction turnout for cotton (cols. 443-450) OR Leaf fall for deciduous trees: The fraction of lint present in the total plant material (lint + seed + trash (leaf and stem particles)) harvested. This value is higher for cotton which is picked compared to stripped because less trash is collected along with the lint and seed as it is harvested. A typical value for picker cotton is 0.38 and 0.27 for stripper cotton. This variable is valid only for cotton and the yield is reported in the field of grain yield (YLDG). In the calculation, FTO is used as: YLDG=YLDG+FTO*YY Where YY is the yield calculated as for any other crop considering the standing live biomass, the harvest index, the harvest efficiency, and pest damage. Turnout fraction = (lint weight / (seed weight + lint weight + trash weight)).For DECIDUOUS TREES, FTO represents the percent of biomass lost to leaf fall. Usually set FTO to 0.05 for deciduous trees.(Range: 0.01 to 0.90)"
FLT,"Fraction lint for cotton (cols. 451-458): The fraction of lint present in the total seed cotton (seed + lint) harvested. This variable differs from FTO in that trash is not included in the total harvested weight. Lint fraction cannot be less than turnout fraction. This variable is valid only for cotton and the yield is reported in the field of forage yield (YLDF). In the calculation, FTL is used as: YLDF=YLDF+YLDG*(1.0/FLT-1.0) Where YLDG is the yield calculated as described for FTO. Lint fraction = (lint weight / (seed weight + lint weight)) (Range: 0.01 to 1.00)"
CCEM,"Carbon emission for seeding (kg kg-1) (cols. 459-466):"
FLSL,"Leaf weight at DLAI (fraction) (cols. 467-474): It is the ratio between the weight of leaves and the weight of standing live biomass. (Range: 0.01 to 1.00)"
ID,"Fertilizer ID. Unique number to identify the fertilizer. This number is used in the EPIC management file to identify the fertilizer(s) that must be simulated."
FTNM,"Fertilizer name. A descriptive name that usually includes the N-P-K analysis or the type of manure."
FN,"Mineral N fraction. Fraction of mineral nitrogen in the bulk fertilizer. (Range: 0.0 to 1.0)"
FP,"Mineral P fraction. Fraction of mineral phosphorus in the bulk fertilizer. This is the fraction of elemental phosphorus, not P2O5. To convert fraction of P2O5 to elemental phosphorus, multiply by 0.4366. (Range: 0.0 to 1.0)"
FK,"Mineral K fraction. Fraction of mineral potassium in the bulk fertilizer. This is the fraction of elemental potassium, not K2O. To convert fraction of K2O to elemental potassium, multiply by 0.8301. (Range: 0.0 to 1.0)"
FNO,"Organic N fraction. This applies to organic fertilizers such as manures. This number must be obtained from an analysis test of the product. The amount is reported as a fraction. (Range: 0.0 to 1.0)"
FPO,"Organic P fraction. This applies to organic fertilizers such as manures. This number must be obtained from an analysis test of the product. The amount is reported as a fraction. (Range: 0.0 to 1.0)"
FNH3,"Ammonia N fraction (FMH3/FN). The fraction of mineral nitrogen in the fertilizer that is in the ammonium (NH4) form. (Range: 0.0 to 1.0)"
FOC,"Organic C fraction. Organic carbon = organic matter / 1.72. (Range: 0.0 to 1.0)"
FSLT,"Salt fraction. Amount of salt in fertilizer. (Range: 0.0 to 1.0)"
FCST,"Cost of fertilizer. Used for economic analyses only."
J1,"Pesticide ID (cols. 1-5). Unique number to identify the pesticide. This number is used in the EPIC management file (JX(7) in OPSCCOM.DAT) to identify the pesticide(s) that must be simulated."
PSTN,"Pesticide name (cols. 7-22). Common or brand name of the pesticide."
PSOL,"Pesticide solubility (ppm) (cols. 23-34). The amount of the pesticide product which can dissolve in water."
PHLS,"Pesticide half-life in soil (days) (cols. 35-42). The time that it takes for the pesticide product concentration in the soil to be reduced by half."
PHLF,"Pesticide half-life on foliage (days) (cols. 43-50). The time that it takes for the pesticide product concentration on the foliage to be reduced by half. Degradation occurs through microbial activity and/or sunlight."
PWOF,"Pesticide wash-off fraction (cols. 51-58). Percentage of the pesticide product that is applied to foliage that is washed off into the soil. (Range: 0.0 to 1.0)"
PKOC,"Pesticide organic C absorption coefficient (cols. 59-68). The amount of pesticide products attached to the soil divided by the amount of the pesticide product in solution, normalized by organic carbon % in the soil. Refer to Environmental Contaminant Toxicological Reviews."
PCST,"Pesticide cost ($/KG) (cols. 69-76). Used for economic analyses only."
PCEM,"Carbon emission / unit of pesticide (g/g) (cols: 77-84)."
1),", XKN50:"
XKN30,"Michaelis-Menten NO2- reduction constant (g m-3): Used in the Izaurralde denitrification approach (see IDN in EPICCONT.DAT file). Default setting: 25 (Range: 15 to 40)"
XKN10,"Michaelis-Menten N2O reduction constant (g m-3): Used in the Izaurralde denitrification approach (see IDN in EPICCONT.DAT file). Default setting: 1.0 (Range: 0.01 to 2.5)"
CBVT0,"BioVolume of organisms (cols. 25-32): It is the cumulative proportion of the BioVolume of spherical and cylindrical organisms. Used in the Izaurralde denitrification approach (see IDN in EPICCONT.DAT file). Default setting: 0.5 (Range: 0.2 to 0.8)"
