Variable_Code,Description,Min_Value,Max_Value,Unknown_Value,Data_Type,Allowed_Values,Source_File,Line,Field
X,"Longitude (decimal degrees). Longitude of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the longitude of the weather stations is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -180 to 180)",-180,180,,real,,WPM1USEL.DAT,1-n,4
ELEX,"Elevation (meters). Elevation of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the elevation of the weather station is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -200 to 8000)",-200,8000,,real,,WPM1USEL.DAT,1-n,5
OBMX,Average monthly maximum air temperature (°C),,,,real,,filename.WP1,3,
OBMN,Average monthly minimum air temperature (°C),,,,real,,filename.WP2,4,
SDTMX,Monthly standard deviation of max temperature or extreme max temperature (monthly) (°C) The extreme monthly maximum temperature can be provided if the standard deviation is not available.,,,,real,,filename.WP3,5,
SDTMN,Monthly standard deviation of min temperature or extreme min temperature (monthly) (°C) The extreme monthly minimum temperature can be provided if the standard deviation is not available.,,,,real,,filename.WP4,6,
RMO,Average monthly precipitation (mm),,,,real,,filename.WP5,7,
RST(2),Monthly standard deviation of daily rainfall (mm) Can be left blank if unknown or if daily precipitation is provided in the daily weather file.,,,,real,,filename.WP6,8,
RST(3),Monthly skew coefficient of daily rainfall Can be left blank if unknown or if daily precipitation is provided in the daily weather file.,,,,real,,filename.WP7,9,
PBW(1),Monthly probability of wet day after dry day Can be left blank if unknown or if daily precipitation is provided in the daily weather file,,,,real,,filename.WP8,10,
PBW(2),Monthly probability of wet day after wet day Can be left blank if unknown or if daily precipitation is provided in the daily weather file.,,,,real,,filename.WP9,11,
UAVM,Average number of days of precipitation per month Blank if precipitation is generated and PBW(1) and (2) are input.,,,,real,,filename.WP10,12,
W1,Three meanings are available • Monthly maximum 0.5 hour rainfall (mm) for period in YWI (in EPICCONT.DAT) • Alpha (mean 0.5 hour rain/mean storm amount) • 0.0 if unknown,,,,real,,filename.WP11,13,
OBSL,Average monthly solar radiation (MJm-2 or Ly) Blank if unknown,,,,real,,filename.WP12,14,
RHD,Three meanings are available (cols. 1-6) • Average monthly relative humidity (fraction) (Range: 0 to 1) • Average monthly dew point (°C) • Blank if unknown,,,,real,,filename.WP13,15,
UAV0,Average monthly wind velocity (msec-1 ),,,,real,,filename.WP14,16,
II,Monthly weather statistics file ID. Unique number to identify the monthly weather statistics file. This number is used in EPICRUN.DAT file to select the daily weather file used in each simulation (IWP1).,,,,integer,,WINDUSEL.DAT,1-n,1
OPSCFILE,"Monthly weather statistics file name. Name of the monthly weather statistics file (including the extension of the file) or path + name of the management file (including the extension). When using the name of the monthly weather statistics file, the file must be in the same folder of the EPIC executable. When using the path + file name, no spaces can be included in the path.",,,,text,,WINDUSEL.DAT,1-n,2
Y,"Latitude (decimal degrees). Latitude of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the latitude of the weather stations is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). Latitudes in the Southern Hemisphere are in negative degrees and positive in the Northern Hemisphere. The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -90 to 90)",-90,90,,real,,WINDUSEL.DAT,1-n,3
X,"Longitude (decimal degrees). Longitude of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the longitude of the weather stations is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -180 to 180)",-180,180,,real,,WINDUSEL.DAT,1-n,4
ELEX,"Elevation (meters). Elevation of the weather station where the weather data was recorded. If a value for IWP1 is not provided in the EPICRUN, the elevation of the weather station is used to find the closest weather station considering the information provided in the site file (YLAT, XLOG, and ELEV). The automated identification of the weather station based on coordinates and elevation is affected by PARM(79). (Range: -200 to 8000)",-200,8000,,real,,WINDUSEL.DAT,1-n,5
UAVM,"Average monthly wind speed (ms-1 ) Wind speed is measured at 10 m height. To convert 2 m height wind speed to a 10 m height equivalent multiply the 2 m height speed by 1.3. UAVM is required to simulate wind erosion (ACW > 0, see ACW in EPIC control file), and it is also required if PenmanMonteith equations are used to calculate potential evapotranspiration (see IET in EPIC control file)",,,,real,,filename.WND,3,
DIR1,Monthly % wind from North. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,4,
DIR2,Monthly % wind from North North East. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,5,
DIR3,Monthly % wind from North East. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,6,
DIR4,Monthly % wind from East North East. May be left zero if wind erosion is not estimated,,,,real,,filename.WND,7,
DIR5,Monthly % wind from East. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,8,
DIR6,Monthly % wind from East South East. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,9,
DIR7,Monthly % wind from South East. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,10,
DIR8,Monthly % wind from South South East. May be left zero if wind erosion is not estimated,,,,real,,filename.WND,11,
DIR9,Monthly % wind from South. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,12,
DIR10,Monthly % wind from South South West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,13,
DIR11,Monthly % wind from South West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,14,
DIR12,Monthly % wind from West South West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,15,
DIR13,Monthly % wind from West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,16,
DIR14,Monthly % wind from West North West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,17,
DIR15,Monthly % wind from North West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,18,
DIR16,Monthly % wind from North North West. May be left zero if wind erosion is not estimated.,,,,real,,filename.WND,19,
J2,"Machine or equipment ID (cols. 2-5) Unique number to identify the machine or equipment. This number is used in the EPIC management file (JX(4), or JX(5) for tractor, in OPSCCOM.DAT) to identify the operation that must be simulated or the tractor used for that operation. (Range: 1 to 9999)",1,9999,,real,,TILLCOM.DAT,3-n,ID
TIL,Machine or equipment name: Abbreviation of the name of the machine or equipment.,,,,text,,TILLCOM.DAT,3-n,Name
PCD,"Power code: Used to identify the machine or equipment. Allowed options: POWE (powered machine), SELF (self-operating machine), NON (non-powered machine), IRRI (irrigation equipment), CUST (customized equipment).",,,,text,POWE=self-powered pulling machine; SELF=self-propelled; NON=no engine; IRRI=irrigation equipment; CUST=customized,TILLCOM.DAT,3-n,PCode
PRIC,"Purchase price ($): Amount of money the equipment was purchased for. To estimate, subtract 10% from the initial list price. Used only for economic analysis. (Range: 0 to 999999).",0,999999,,real,,TILLCOM.DAT,3-n,1
XLP,Initial list price in current ($): The price of the equipment when new. Used for economic analysis. (Range: 0 to 999999).,0,999999,,real,,TILLCOM.DAT,3-n,2
HRY,Annual use (h): Time per year the equipment is used. Used only for economic analysis. (Range: 0 to 8760).,0,8760,,real,,TILLCOM.DAT,3-n,3
HRL,Life of equipment (h): The amount of time the equipment is operational. Used only for economic analysis. (Range: 0 to 999999).,0,999999,,real,,TILLCOM.DAT,3-n,4
PWR,Power of unit (KW): The horsepower or kilowatts of the equipment. Used only for economic analysis. Kilowatts x 1.341 = horsepower (Range: 0 to 900).,0,900,,real,,TILLCOM.DAT,3-n,5
WDT,Width of pass (m): The width the equipment covers when moved across the land. (Range: 0 to 50).,0,50,,real,,TILLCOM.DAT,3-n,6
SPD,Operating speed (km/h): Speed at which the equipment is operated. (Range: 0 to 200).,0,200,,real,,TILLCOM.DAT,3-n,7
RC1,Repair cost coefficient 1: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1).,0,1,,real,,TILLCOM.DAT,3-n,8
RC2,Repair cost coefficient 2: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 5).,0,5,,real,,TILLCOM.DAT,3-n,9
XLB,Lubricant factor: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1).,0,1,,real,,TILLCOM.DAT,3-n,10
FCM,Fuel consumption multiplier: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 1).,0,1,,real,,TILLCOM.DAT,3-n,11
RFV1,Remaining farm value parameter 1: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 2).,0,2,,real,,TILLCOM.DAT,3-n,12
RFV2,Remaining farm value parameter 2: Value from the American Society of Agricultural Engineers Standards Engineering Practices Data handbook. (Range: 0 to 2).,0,2,,real,,TILLCOM.DAT,3-n,13
EFM,"Machine efficiency: The fraction of efficiency loss due to the overlap of passes. For example, if each time a pass is made across the field, the implement covers 10% of the last pass, then the machine efficiency is 0.90. In the case of irrigation systems, this machine efficiency applies to the efficiency of the system. This would include losses from the well or channel to the soil surface. These losses include leaks in channels, pipes, and other equipment deficiencies as well as evaporation of water before it reaches the soil surface as is the case with sprinkler irrigation systems. (Range: 0-1) EFM is also used for specific operations like grazing and mulching with plastic films. In the case of grazing (IHC = 19) EFM has the meaning of grazing rate and is input as kg head-1 day-1. (Range: 0.1-99999.9) In the case of the use of plastic cover (IHC = 23), EFM indicates the fraction of unit area covered by the plastic film. (Range: 0 to 1)",0.1,99999.9,,real,,TILLCOM.DAT,3-n,14
RTI,Annual real interest rate ($/$): Difference between nominal interest rate and inflation rate. (Range: 0.001 to 0.15).,0.001,0.15,,real,,TILLCOM.DAT,3-n,15
EMX,Mixing efficiency: Fraction of materials mixed uniformly in the plow depth. (Range: 0 to 0.99).,0,0.99,,real,,TILLCOM.DAT,3-n,16
RR,"Random surface roughness: This characterizes the soil surface roughness due to soil aggregates. Random roughness has been used to describe the effects of tillage on surface roughness and to estimate the surface roughness after tillage based on the tillage implement used. (Potter, K.N. 1990. Soil properties effect random roughness decay by rainfall. Transactions of the ASAE 33 (6) 1889-1892.) The random roughness index is the standard error of adjusted natural log transformed surface elevations. (Range: 0 to 100) RR is also used in simulating the use of plastic cover and represents the albedo of the surface after placing the plastic cover. (Range: 0 to 1)",0,100,,real,,TILLCOM.DAT,3-n,17
TLD,"Tillage depth: Depth of tillage (positive for below surface, negative for above). (Range: -2000 to 2000).",-2000,2000,,real,,TILLCOM.DAT,3-n,18
RHT,Ridge height: Height of the ridge created by the implement. (Range: 0 to 1000).,0,1000,,real,,TILLCOM.DAT,3-n,19
RIN,Ridge interval: Distance between ridges or row spacing. (Range: 0 to 200).,0,200,,real,,TILLCOM.DAT,3-n,20
DKH,Height of furrow dikes: Affects the amount of water furrow dikes can store. (Range: 0 to 1000).,0,1000,,real,,TILLCOM.DAT,3-n,21
DKI,Distance between furrow dikes: (Range: 0 to 200).,0,200,,real,,TILLCOM.DAT,3-n,22
IHC,"Code used to identify the type of operation or implement. Accepted values are: 0 Plow, cultivate, other 1 Kill crop (terminates the simulation of crop, all biomass is converted in residue) 2 Harvest without kill (a harvest operation is simulated giving yield in the output files. The plant will continue to grow after the harvest operation. NOTE: mowing operations with IHC zero do not simulate a harvest operation and yield won’t be simulated). 3 Harvest once during simulation without kill 4 Tractor 5 Plant in rows 6 Plant with drill 7 Apply pesticide 8 Irrigate 9 Fertilize 10 Bagging and ties (cotton) 11 Ginning 12 Hauling 13 Drying 14 Burn 15 Puddle (used for paddy-rice simulation) 16 Destroy puddle (used for paddy-rice simulation) 17 Builds furrow dikes 18 Destroy furrow dikes 19 Start grazing 20 Stop grazing 21 Auto mow 22 Plastic cover 23 Remove plastic cover 24 Stop drainage system flow 25 Resume drainage system flow",0,25,,integer,0=plow/cultivate; 1=kill crop; 2=harvest w/o kill; 3=harvest once w/o kill; 4=tractor; 5=plant rows; 6=plant drill; 7=apply pesticide; 8=irrigate; 9=fertilize; 10=bagging; 11=ginning; 12=hauling; 13=drying; 14=burn; 15=puddle; 16=destroy puddle; 17=build furrow dikes; 18=destroy furrow dikes; 19=start grazing; 20=stop grazing; 21=auto mow; 22=plastic cover; 23=remove plastic; 24=stop drainage; 25=resume drainage,TILLCOM.DAT,3-n,23
HE,"Harvest efficiency or pesticide application efficiency (cols. 204-211) As a harvest operation (IHC = 2) this is the ratio of the crop yield removed from the field to the total crop yield. It is used also for grazing as grazing efficiency (fraction of the total available area that is actually grazed). As pesticide application efficiency (IHC = 7) it is the fraction of the pesticide which is deposited on the foliage or soil surface while the remaining is lost. Beside its normal function, harvest efficiency can be used in simulating growing green manure crop (HE = 0) when all the above-ground biomass is left on the field. (Range: 0 to 1)",0,1,,real,,TILLCOM.DAT,3-n,24
ORHI,"Override harvest index for forage and root crops (cols. 212-219) This is the ratio of the economic or harvestable yield to the total biomass of the crop. This value overrides the harvest index set in the EPIC plant list file (CROPCOM.DAT) if a forage or root crop is chosen. In the case of grazing, ORHI is calculated by the model as EFM X— 0.001. As the crop grows, these values may be adjusted for water stress. For some crops like hay, the harvest index is not affected by water stress. Thus, the harvest index override (ORHI) is used to give a constant harvest index. Another important feature of ORHI is the provision for two different types of harvest of the same crop. For example, the seed could be removed from a crop and later the straw could be baled. The water-stress-adjusted HI is appropriate for the seed harvest but probably not for baling the straw. Thus, two separate harvest machines are required. The second harvester sets ORHI approx. equal to 0.9 to override the adjusted HI used in the first harvest. (Range: 0 to 1) 26 FRCP Fraction of soil compacted (cols. 220-227) Calculated as tire width / tillage width Experimental and currently not activated in the simulation. (Range: 0 to 1) 27 FPOP Fraction of plant population reduced by operation (cols. 228-235) This operation can be used for thinning operations to reduce the plant population which was actually planted. It can also be used to decrease plant population after a harvest (i.e., sugarcane) or due to a tillage operation. It is a correction to the seeded rate. Each time an operation that has an FPOP >0 occurs, the current plant population is reduced accordingly. (Range: 0 to 1) 28 TCEM Carbon emission (kg ha-1) (cols. 236-243) Carbon emitted from use of equipment. (Range: 0 to 9999)",0,1,,real,,TILLCOM.DAT,3-n,25
FRCP,Fraction of soil compacted: Calculated as tire width/tillage width. Experimental and not activated in simulation. (Range: 0 to 1).,0,1,,real,,TILLCOM.DAT,3-n,27
FPOP,Fraction of plant population reduced by operation: Correction to the seeded rate based on thinning or tillage operations. (Range: 0 to 1).,0,1,,real,,TILLCOM.DAT,3-n,26
TCEM,Carbon emission (kg/ha): Carbon emitted from equipment use. (Range: 0 to 9999).,0,9999,,real,,TILLCOM.DAT,3-n,10
DESC_T,Description,,,,text,,TILLCOM.DAT,3-n,
J2,Plant ID (cols. 2-5) Unique number to identify the plant. This number is used in the EPIC management file (JX(6) in OPSCCOM.DAT) to identify the plant(s) that must be simulated.,,,,real,,CROPCOM.DAT,3-n,ID
CPNM,Plant name (cols. 7-10) Short name of the plant. This will be used to represent the plant(s) in several output files.,,,,text,,CROPCOM.DAT,3-n,Name
WA,"Biomass-Energy ratio (cols. 11-18) Also known as radiation use efficiency, it is the potential (unstressed) growth rate (including roots) per unit of intercepted photosynthetically active radiation. Values reported here are for atmospheric CO2 concentration of 330 ppm. This parameter should be one of the last to be adjusted. Adjustments should be based on research results. This parameter can greatly change the rate of growth, incidence of stress during the season and the resultant yield. Care should be taken to make adjustments in the parameter only based on data with no drought, nutrient or temperature stress. (Range: 0.01 to 90)",0.01,90,,real,,CROPCOM.DAT,3-n,1
HI,"Harvest index: The harvest index is the ratio of economic or harvestable yield to the total biomass of the plant. This plant parameter should be based on experimental data where plant stresses have been minimized to allow the plant to attain its potential. HI input here is the maximum harvest index that could possibly be attained under nonstress conditions. The actual HI is adjusted during the simulation based on stress and phenological development. This variable only pertains to grain and cotton crops. For forage and root crops, the Override Harvest Index (ORHI) should be set in the TILLCOM.DAT file for the harvest equipment used to harvest the crop. (Range: 0.01 to 1.0)",0.01,1,,real,,CROPCOM.DAT,3-n,2
TOPC,Optimal temperature for plant growth ( °C): This indicates the optimum temperature at which the plant will grow without being physiologically damaged by high or low temperatures. This value is very stable for cultivars within a species and should not be changed once determined for a species. Varietal or maturity type differences are accounted for by different sums of thermal units. (Range: 0.0 to 40.0),0,40,,real,,CROPCOM.DAT,3-n,3
TBSC,Minimum temperature for plant growth ( °C): This indicates the minimum (base) temperature at which the crop will grow without being physiologically damaged by cold. This value is very stable for cultivars within a species and should not be changed once determined for a species. Varietal or maturity type differences are accounted for by different sums of thermal units. (Range: 0.0 to 25.0),0,25,,real,,CROPCOM.DAT,3-n,4
DMLA,Maximum potential leaf area index: Leaf area index refers to the ratio of the surface area of the leaves (one side only) of the plant to the area of the ground covered by the plants. This parameter refers to the greatest leaf area index that the plant is able to attain. The DMLA is based on the highest expected plant densities for plants not expected to have water stress. DMLA is internally adjusted for drought-prone regions as planting densities are much smaller in these areas unless irrigation is used. (Range: 0.1 to 20.0),0.1,20,,real,,CROPCOM.DAT,3-n,5
DLAI,Fraction of growing season when leaf area declines: Point in the growing season (expressed as a fraction of heat units required for maturation) when the leaf area index begins to decrease due to leaf senescence. The fraction of the growing season in heat units is divided by the total heat units accumulated between planting and crop maturity. (Range: 0.01 to 1.0),0.01,1,,real,,CROPCOM.DAT,3-n,6
DLAP1,"First point on optimal leaf area development curve: This is the first of two points on the optimal (not stressed) leaf area development curve. Numbers before decimal are % of growing season. Numbers after decimal are fractions of maximum potential LAI. For example, 15.01 states that at 15% of the growing season, 1% of the LAI has developed. See Figure 17 for an example on how DLAP(1) works.",,,,real,,CROPCOM.DAT,3-n,7
DLAP2,"Second point on optimal leaf area development curve: This is the second of two points on optimal (not stressed) leaf area development curve. Numbers before decimal are % of growing season. Numbers after decimal are fractions of maximum potential LAI. For example, 50.95 states that at 50% of the growing season, 95% of the LAI has developed. See Figure 17 for an example on how DLAP(2) works.",,,,real,,CROPCOM.DAT,3-n,8
RLAD,"Leaf area index decline rate parameter: In several plants, leaf area declines due to leaf senescence as the plant approaches physiological maturity. In most cases, leaf senescence begins with yellowing of the older (lower) leaves and proceeds upward until, in crops like corn, wheat, and soybeans, all leaves senesce and the plant dies. In many grain crops, leaf area index declines linearly with time after grain filling begins. Nutrients and carbohydrates in the senescing leaves are often translocated into the grain. In EPIC the plant parameter DLAI (described above) controls the point in the growing season when leaf area begins to decline. The plant parameter RLAD controls the rate of decline. If RLAD is set to 1.0, the rate of decline is linear. If RLAD < 1.0, the rate of decline is initially slow, then increases until all leaves are dead at maturity. If RLAD > 1.0, the rate of senescence is initially rapid, then slows as maturity approaches. In all cases, EPIC assumes that leaf area begins to decline when the fraction of the growing season equals DLAI, and the leaf area index approaches zero at maturity. (Range: 0 to 10)",0,10,,real,,CROPCOM.DAT,3-n,9
RBMD,"Biomass-energy ratio decline rate parameter: This variable sets the biomass-energy (WA) decline rate during the growing season. This crop parameter functions like the RLAD above. It reduces the efficiency of conversion of intercepted photosynthetically active radiation to biomass due to production of high energy products like seeds and/or translocation of N from leaves to seeds. In most crops, this rate is relatively constant during the vegetative stage of growth, when structural carbohydrates like cellulose are the principal products of growth. However, when grain crops begin to form seeds, the conversion of intercepted solar radiation into biomass begins to decline. That is, less dry matter is formed for each unit of absorbed solar radiation. In addition, as leaf area yellows and begins to senesce, the conversion efficiency declines still more. EPIC uses the crop parameter RBMD to reduce the rate of conversion of intercepted solar radiation to biomass as the crop approaches maturity (when the fraction of the growing season is greater than DLAI). Computationally, RBMD reduces WA like RLAD reduces leaf area index. (Range: 1 to 10)",1,10,,real,,CROPCOM.DAT,3-n,10
ALT,Aluminum tolerance index: Index of plant tolerance to aluminum saturation. (Range: 1 (sensitive) to 5 (tolerant)),1,5,,integer,,CROPCOM.DAT,3-n,11
GSI,Maximum Stomatal Conductance (m s-1): The crop parameter GSI is the maximum stomatal conductance at high solar radiation and low vapor pressure deficit. Korner et al. (1979) reported maximum stomatal conductance values for 246 species and cultivars.,,,,real,,CROPCOM.DAT,3-n,12
CAF,"Critical aeration factor: Fraction of soil porosity where poor aeration starts limiting plant growth. This is set at 0.85 for most crops, with rice being the major exception with a value of 1.0. (Range: 0.1 to 1.0)",0.1,1,,real,,CROPCOM.DAT,3-n,13
SDW,Seed weight (kg ha-1): The seed weight affects the starting crop biomass. A portion of the seed weight is allocated to the initial biomass. This is also used for transplanted crops.,,,,real,,CROPCOM.DAT,3-n,14
HMX,Maximum crop height (m): The greatest potential height the crop will reach.,,,,real,,CROPCOM.DAT,3-n,15
RDMX,Maximum root depth (m): The greatest depth to which the rooting system will penetrate. This affects soil moisture extraction.,,,,real,,CROPCOM.DAT,3-n,16
WAC2,"CO2 Concentration / Resulting WA value: This is a split variable. In EPIC, radiation use efficiency is sensitive to atmospheric CO2 concentration. WAC2 is an 'S' curve parameter used to describe the effect of CO2 concentration on the crop parameter WA. The value on the left of the decimal is a value of CO2 concentration higher than ambient (i.e., 450 or 660 ul l-1). The value on the right of the decimal is the corresponding value of WA. This elevated value of WA can be estimated from experimental data on short-term crop growth at elevated CO2 levels. Calculate the ratio of crop growth rate at elevated CO2 to crop growth at approximately 330 ul l-1 CO2. Multiply that ratio by the value of WA at 330 ul l-1 to obtain the value on the right of the decimal. Typical values of the ratio for C4 plants are 1.1 to 1.2; 1.15 is used in CROPCOM.DAT for plants with the C4 photosynthetic pathway. Typical values of the ratio for C3 plants are 1.3 to 1.4; 1.35 is used in CROPCOM.DAT for these types of plants. (Kimball, 1983)",,,,real,,CROPCOM.DAT,3-n,17
CNY,Fraction of nitrogen in yield (kg kg-1): This is the fraction of nitrogen in the yield compared to the entire plant and affects the amount of nitrogen removed from the field through the harvesting of the crop. This was estimated from Morrison's Feeds and Feeding and other data sources of plant nutrition. The percentage N in Morrison was adjusted to a dry weight by dividing by the fraction of dry matter to total yield. (Range: 0.0 to 1.0),0,1,,real,,CROPCOM.DAT,3-n,18
CPY,Fraction of phosphorus in yield (kg kg-1): This is the fraction of phosphorus in the yield compared to the entire plant and affects the amount of phosphorus removed from the field through the harvesting of the crop. Estimated by the same procedure as CNY above. (Range: 0.0 to 1.0),0,1,,real,,CROPCOM.DAT,3-n,19
CKY,Fraction of potassium in yield (kg kg-1): This is the fraction of potassium in the yield compared to the entire plant and affects the amount of potassium removed from the field through the harvesting of the crop. Estimated by the same procedure as CNY above. (Range: 0.0 to 1.0),0,1,,real,,CROPCOM.DAT,3-n,20
WYSF,Lower limit of harvest index: Fraction between 0 and HI values that represents the lowest harvest index expected due to water stress. (Range: 0 to 1),0,1,,real,,CROPCOM.DAT,3-n,21
PST,"Pest (insects and disease) factor: Fraction of yield remaining after damage. Usually set at 0.60. EPIC has an adjustment process that is a function of moisture, temperature, and residue. This presently is a reasonable estimate, but future versions may include more detailed procedures. You may wish to adjust the parameter in geographic areas known to have large amounts of damage from pests. (Range: 0 to 1)",0,1,,real,,CROPCOM.DAT,3-n,22
CSTS,Seed cost ($ kg-1): Cost of seed is used for economic analyses only.,,,,real,,CROPCOM.DAT,3-n,23
PRYG,Price for grain yield ($ t-1): Price for grain yield is used for economic analyses only.,,,,real,,CROPCOM.DAT,3-n,24
PRYF,Price for forage yield ($ t-1): Price for forage yield is used for economic analyses only.,,,,real,,CROPCOM.DAT,3-n,25
WCY,"Fraction water in yield: The amount of water present in the yield at the time of harvest. The yields of most grain crops are reported at a standard grain water content; however, for some applications, grain dry weight is appropriate (WCY = 0). EPIC yield output is dry weight. (Range: 0.0 to 1.0)",0,1,,real,,CROPCOM.DAT,3-n,26
BN(1),Fraction on nitrogen in plant at emergence: Normal fraction of N in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,27
BN(2),Fraction on nitrogen in plant at 0.5 maturity: Normal fraction of N in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,28
BN(3),Fraction on nitrogen in plant at maturity: Normal fraction of N in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,29
BP1,Fraction on phosphorus in plant at emergence: Normal fraction of P in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,30
BP(2),Fraction on phosphorus in plant at 0.5 maturity: Normal fraction of P in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,31
BP(3),Fraction on phosphorus in plant at maturity: Normal fraction of P in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,32
BK(1),Fraction on potassium in plant at emergence: Normal fraction of K in plant biomass at emergence. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,33
BK(2),Fraction on potassium in plant at 0.5 maturity: Normal fraction of K in plant biomass at mid growing season. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,34
BK(3),Fraction on potassium in plant at maturity: Normal fraction of K in plant biomass at maturity. This parameter is based on research results published in the literature for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,35
BWD(1),Wind erosion factor for standing live biomass: Based on the Manhattan wind erosion equations for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,36
BWD(2),Wind erosion factor for standing dead biomass: Based on the Manhattan wind erosion equations for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,37
BWD(3),Wind erosion factor for flat residue: Based on the Manhattan wind erosion equations for each (or similar) plant.,,,,real,,CROPCOM.DAT,3-n,38
IDC,"Crop category ID number: This ID number is used internally to identify the type of crop simulated by the model. Crop categories are: 1. Warm season annual legume, 2. Cold season annual legume, 3. Perennial legume, 4. Warm season annual, 5. Cold season annual, 6. Perennial, 7. Evergreen tree, 8. Deciduous tree, 9. Cotton, 10. Leguminous tree.",1,10,,integer,1=warm season annual legume; 2=cold season annual legume; 3=perennial legume; 4=warm season annual; 5=cold season annual; 6=perennial; 7=evergreen tree; 8=deciduous tree; 9=cotton; 10=leguminous tree,CROPCOM.DAT,3-n,39
FRST(1),"First point on frost damage curve: The first of two points on the frost damage curve. Numbers before the decimal point are the minimum temperatures ( °C) and numbers after the decimal point are the fraction of biomass lost each day the specified minimum temperature occurs. NOTE: 10.20 means 20 percent of the biomass is lost each day a temperature of -10  °C is reached. The negative sign on degrees is added by EPIC since no frost damage is assumed to occur above 0  °C. These two parameters should be based on a combination of research results and observation. Precise data for field application is subject to microclimate variation across the landscape. Current parameters are reasonable estimates; however, they are more likely to understate frost damage than to overstate frost damage.",,,,real,,CROPCOM.DAT,3-n,40
FRST(2),Second point on frost damage curve: Second of two points on the frost damage curve. Numbers before the decimal point are the minimum temperatures ( °C) and numbers after the decimal point are the fraction of biomass lost each day the specified minimum temperature occurs.,,,,real,,CROPCOM.DAT,3-n,41
WAVP,"Parameter relating vapor pressure deficit to WA: In EPIC, radiation use efficiency (WA) is sensitive to vapor pressure deficit (VPD). As VPD increases, WA decreases. The crop parameter WAVP is the rate of the decline in WA per unit increase in VPD. The value of WAVP varies among species, but a value of 6 to 8 is suggested as an approximation for most crops.",,,,real,,CROPCOM.DAT,3-n,42
VPTH,"Threshold VPD (kPa): In EPIC, leaf conductance is to VPD until VPD (calculated hourly) exceeds the threshold value, VPTH (usually 0.5 to 1.0 kPa).",,,,real,,CROPCOM.DAT,3-n,43
VPD2,"VPD value (kPa): In EPIC, leaf conductance declines linearly as VPD increases above VPTH. VPD2 is a double parameter in which the number on the left of the decimal point is some value of VPD above VPTH (e.g., 4.0), and the number on the right of the decimal point is the corresponding fraction of the maximum leaf conductance at the value of VPD (e.g., 0.7).",,,,real,,CROPCOM.DAT,3-n,44
